feature,importance
f_01_past_tense,511.51063837301086
f_02_perfect_aspect,438.7325695718658
f_03_present_tense,421.07939255420433
f_04_place_adverbials,353.73130838590555
f_05_time_adverbials,357.571169576884
f_06_first_person_pronouns,390.8607236324813
f_07_second_person_pronouns,274.9001599541544
f_08_third_person_pronouns,437.8206467238249
f_09_pronoun_it,406.5647273361577
f_10_demonstrative_pronoun,348.110816701295
f_11_indefinite_pronouns,328.4049215019705
f_12_proverb_do,424.98615342116346
f_13_wh_question,306.8595637850309
f_14_nominalizations,805.4636425790828
f_15_gerunds,406.1529596068192
f_16_other_nouns,726.1059849812289
f_17_agentless_passives,647.3076358683459
f_18_by_passives,296.5895249589585
f_19_be_main_verb,486.0238291215112
f_20_existential_there,541.1305631267123
f_21_that_verb_comp,499.91930466566185
f_22_that_adj_comp,108.71233355936461
f_23_wh_clause,246.20673265964638
f_24_infinitives,605.0680218928459
f_25_present_participle,1766.6048742043813
f_26_past_participle,175.68040100218462
f_27_past_participle_whiz,640.1113547767145
f_28_present_participle_whiz,456.04279400032004
f_29_that_subj,1408.329780632514
f_30_that_obj,121.27711184879557
f_31_wh_subj,260.0282995064167
f_32_wh_obj,69.94237017784992
f_33_pied_piping,147.2296812783827
f_34_sentence_relatives,259.47159673581035
f_35_because,377.225445127891
f_36_though,348.5753371823599
f_37_if,305.5525765440648
f_38_other_adv_sub,505.5895988430477
f_39_prepositions,578.5085409807643
f_40_adj_attr,657.2222961454767
f_41_adj_pred,448.79869582210836
f_42_adverbs,921.7687265055588
f_44_mean_word_length,1112.3060420871425
f_45_conjuncts,285.1350236301741
f_46_downtoners,711.6361128330452
f_47_hedges,182.9783081758719
f_48_amplifiers,404.92044916939386
f_49_emphatics,552.349450021378
f_50_discourse_particles,182.6057816354751
f_51_demonstratives,676.7053025694706
f_52_modal_possibility,522.5433686872018
f_53_modal_necessity,285.68948673510636
f_54_modal_predictive,340.62056481299123
f_55_verb_public,454.6127460429347
f_56_verb_private,442.0548640776435
f_57_verb_suasive,434.7803150216555
f_58_verb_seem,294.9861102804283
f_59_contractions,499.6159490876966
f_60_that_deletion,166.5356032255967
f_61_stranded_preposition,254.80112685229602
f_62_split_infinitive,93.97748893622091
f_63_split_auxiliary,386.0034640109349
f_64_phrasal_coordination,766.6495312419513
f_65_clausal_coordination,728.1038532087575
f_66_neg_synthetic,306.9881748882235
f_67_neg_analytic,441.1717313460858
